SN_Name,Measured_Vel_SiII,Paper_Vel_SiII,Measured_pEW_5800,Paper_pEW_5972
SN2000dn,11.062714140690105,9.7,18.09743381674092,13.3
SN2008fr,,10.1,,19.3
SN2007ux,10.57040386387312,11.1,40.55455425022736,54.3
PS1-14ra,11.990959619714667,11.2,33.0562966196414,34.2
SN2005el,15.566961153346735,10.9,,19.5
SN2008fp,,11.0,,12.4
SN2009le,,12.5,,8.2
SN2007af,,11.2,,18.7
SN2007on,13.08989449347766,11.2,,41.3
SN2009ds,,12.6,,14.8
SN2000cx,10.521722588666725,11.8,,5.9
SN2012gm,11.728871247282592,10.4,7.722350275992415,24.1
SN2000dr,10.164455946485653,10.3,44.06964746555899,84.6
SN2006hx,,10.5,,12.6
SN2009ad,,10.2,,9.9
ASASSN-14hr,11.706809394082995,13.6,22.909099988370308,30.5
SN2002er,13.840212697372746,12.0,17.639737391957848,24.2
SN2014I,,11.3,,23.5
SN2007le,15.777400911442871,11.9,,12.7
SN2008gl,,11.9,54.43805247897673,20.6
SN2012hr,13.11655093656157,12.6,10.161547462231043,15.3
SN2007ol,,11.1,,16.2
SN2002dl,12.142557494633508,12.5,37.27914759790667,40.2
LSQ12gdj,,10.7,,8.7
ASASSN-15fr,11.047167546547165,11.7,1.9624524435768236,20.7
SN2009ab,,10.7,31.61417537433737,28.3
SN2008C,11.115856656959828,10.6,13.23680406956949,15.5
SN2003Y,10.761893482977218,11.3,53.98900520702853,71.8
SN2003gt,11.04323402888408,11.3,17.774015572727322,33.6
SN2007bd,15.32070677322567,12.7,16.882744056722466,12.3
SN2001ep,11.703518053471187,10.7,28.743499578653854,31.9
SN2009ag,13.046953502011744,10.3,17.793329625694113,21.4
SN2007ca,12.391959369637462,11.0,4.509806310119554,10.5
SN2006lf,12.111391453139165,11.7,,25.7
SN2011jh,15.5100568635735,12.8,28.959467916934283,35.0
SN2002ha,11.270553154587986,11.3,22.598802205004716,30.6
SN2008bq,,10.6,,12.4
SN2008hj,12.882357215777011,13.0,13.290604477012826,16.0
SN2003gn,13.372833590589114,11.1,9.704464021409557,24.0
SN2008hu,,12.4,,15.9
SN2006cp,16.603011144294758,14.9,8.333915951327466,15.3
SN2005M,8.557717765742039,9.2,5.265276313564785,7.4
SN2003cg,12.321741132210262,13.2,45.65337328759265,40.8
SN2002cr,12.418801974122047,10.1,20.07340667839952,19.3
ASASSN-15hf,11.036527029384484,11.1,2.189846952972717,21.3
SN2001en,12.916782408814273,12.6,9.334622376457746,9.4
SN2002eb,10.183887341950555,10.1,8.322815763864844,9.9
SN2014dn,,10.4,,70.9
SN2006D,,11.2,,26.4
SN2012ht,,10.9,,27.5
ASASSN-14kq,,10.5,,7.4
SN2005bg,17.3031083666115,10.6,,7.3
SN2001V,13.714754205830452,11.4,,13.2
SN2012hl,13.57002038118208,12.9,5.323194629690564,13.3
SN2002dj,17.251113574753955,14.0,26.04265543329836,6.3
SN2013E,11.842308109576544,12.6,6.164536606976194,3.8
SN2009D,18.001174991537916,9.7,,4.3
SN2002bo,17.37487453461088,13.4,27.39394464078681,10.5
SN2007as,18.77837650069081,12.6,,18.0
SN2002he,13.98855577676106,12.6,26.358326933996256,20.2
LSQ15aja,,10.2,,1.7
SN2006le,19.51805644693709,11.4,,13.0
SN1999dq,10.893787469438148,11.1,,9.3
PS1-14xw,12.779208630269808,11.7,,10.9
SN2005de,12.008627887842415,10.7,15.353621001634302,30.2
SN2006br,,13.9,,8.5
SN1999gp,11.241758503717367,10.6,0.700278248218895,22.7
SN1999gp,11.241758503717367,11.1,0.700278248218895,8.2
SN2005eq,9.049076330361382,9.8,,16.8
SN2009aa,18.282088565805385,10.9,,20.1
SN2008cf,,10.2,,7.9
SN2008ec,10.507295106977958,10.8,23.122163462095507,36.7
SN2012fr,,12.1,81.11296289091695,6.5
SN2007bc,10.366851698411391,10.6,33.34187308211963,29.9
SN2004dt,,16.0,74.6349264616019,21.5
SN2012ij,10.129222919931834,10.8,55.47170443969422,53.3
SN2008gp,,11.0,,15.4
SN2004at,12.194147511462177,10.7,11.25849602782525,10.5
SN2000fa,15.246789226684257,11.9,,10.7
SN2007ba,,10.8,,49.1
SN2013gy,13.844986458219246,10.2,17.875286320201663,28.9
SN2008bf,19.6249164975986,11.3,,10.7
SN2011iv,9.20755635537895,10.9,,40.8
SN2005cf,15.795929920113227,10.3,7.54526047415164,17.0
SN2008hv,,10.8,,21.3
SN2008ia,,11.4,,20.0
SN1998dh,13.38469364173664,12.4,31.544096121057976,26.1
ASASSN-15al,10.371368057497758,11.7,13.929865241960924,19.7
SN2008bc,,11.7,,12.6
SN2013fy,13.034877856858772,10.8,5.423244035175566,14.4
SN2007S,,10.1,,9.2
SN2007bm,12.676858498865032,10.6,33.26112626522982,24.7
SN2005hc,,10.3,40.02425543257623,12.6
SN2008R,10.384469791791156,10.7,46.24955735724988,49.4
SN2003W,,15.2,,6.4
SN2009cz,9.87924437115574,10.1,6.986827725668732,11.9
SN2007ci,12.708122564628631,12.3,54.312406760100686,50.0
SN2006gr,19.69874337929212,11.3,,3.3
ASASSN-14hu,,12.5,,10.7
SN2002fk,9.775761608812635,9.8,12.840849260678244,18.6
SN2012aq,10.754893847293538,11.2,,27.6
SN2009Y,19.19708066155587,14.4,,8.6
SN1998dm,11.918501309053196,11.0,11.857604192822578,11.2
