supernova_name,v_SiII,v_SiII_err,pEW_SiII_5972,pEW_SiII_5972_err,pEW_SiII_6355,pEW_SiII_6355_err
ASASSN-14hr,13.6,0.3,30.5,4.2,103.1,5.3
ASASSN-14hu,12.5,0.2,10.7,1.5,86.7,2.8
ASASSN-14kq,10.5,0.3,7.4,1.2,82.5,3.5
ASASSN-14mf,9.9,0.3,23.8,2,103.8,3.8
ASASSN-14my,12,0.3,26.1,3.9,106.9,4.3
ASASSN-15al,11.7,0.1,19.7,4.2,81.7,5.5
ASASSN-15ba,11.4,0.2,16.2,1.7,117.3,3.3
ASASSN-15be,11.8,0.4,3.8,1.8,94.3,3.8
ASASSN-15bm,10.6,0.2,9.7,2.6,72.3,4.9
ASASSN-15dd,10.8,0.3,21,1.6,102.1,2.7
ASASSN-15fr,11.7,0.2,20.7,3.7,107.4,6.1
ASASSN-15ga,9.4,0.2,52.4,5.1,126.1,5
ASASSN-15hf,11.1,0.3,21.3,2.9,83.6,2.9
LSQ11bk,12.6,0.3,5.6,1.5,98.2,3.5
LSQ12fkd,10.9,0.3,17.9,1.9,81,3.4
LSQ12gdj,10.7,0.5,8.7,1.8,36,2.2
LSQ12hzj,9.8,0.3,13.5,2.2,59.1,3.7
LSQ13ry,12.6,0.2,20.4,1.2,82.3,1.5
LSQ15aja,10.2,0.3,1.7,3.2,78.1,8.1
PS1-14ra,11.2,0.3,34.2,3.9,124,6.3
PS1-14xw,11.7,0.2,10.9,2.1,77.8,2.7
SN1998dh,12.4,0.2,26.1,2.2,124.6,2
SN1998dm,11,0.2,11.2,1.9,73.2,2.2
SN1999gp,10.6,0.2,22.7,1.4,104.6,2.4
SN1999dq,11.1,0.1,9.3,1.6,44.8,2.3
SN1999gp,11.1,0.4,8.2,2.2,53.8,3
SN2000cx,11.8,0.3,5.9,2.2,40.3,3.8
SN2000dn,9.7,0.3,13.3,3.2,102.4,3.6
SN2000dr,10.3,0.3,84.6,3.2,131.4,3.2
SN2000fa,11.9,0.3,10.7,2.3,83.4,4.8
SN2001V,11.4,0.1,13.2,2.1,57,1.9
SN2001en,12.6,0.3,9.4,1.5,135,3.1
SN2001ep,10.7,0.2,31.9,2.1,111.7,2.1
SN2002bo,13.4,0.2,10.5,5.1,150.4,9.3
SN2002cr,10.1,0.1,19.3,1.8,104.6,2
SN2002dj,14,0.3,6.3,1.3,151,2.3
SN2002dl,12.5,0.4,40.2,4.5,90.1,4.9
SN2002eb,10.1,0.2,9.9,2.1,65,4.1
SN2002er,12,0,24.2,0.9,115.2,1.2
SN2002fk,9.8,0.3,18.6,1.7,80.7,2.2
SN2002ha,11.3,0.3,30.6,2.6,111.3,2.8
SN2002he,12.6,0.2,20.2,1.1,118.3,1.5
SN2003W,15.2,0.5,6.4,1.7,108.2,3.5
SN2003Y,11.3,0.4,71.8,8.2,104.1,5.9
SN2003gn,11.1,0.3,24,2.5,96.1,3.1
SN2003cg,13.2,0.9,40.8,9.3,146.8,10.3
SN2003gt,11.3,0.4,33.6,3.6,76.8,4.1
SN2004at,10.7,0.2,10.5,1.9,92.6,2.3
SN2004dt,16,0,21.5,1.9,167,3
SN2004ey,11,0.3,13.8,4.8,100,8.7
SN2004gs,11.2,0.1,41.7,6.3,136.7,8
SN2005M,9.2,0.4,7.4,3.7,47.5,4.5
SN2005bg,10.6,0.3,7.3,3.1,105.5,9.9
SN2005el,10.9,0.3,19.5,3.2,93.9,4.2
SN2005eq,9.8,0.2,16.8,4.8,77.3,7.1
SN2005hc,10.3,0.6,12.6,13.5,101.5,16.5
SN2006D,11.2,0.2,26.4,0.9,100.4,1.1
SN2006ax,10.6,0.3,9.6,2,92.5,2.9
SN2006br,13.9,0.4,8.5,4,111.8,8.5
SN2006bb,10.5,0.3,41.4,3.6,121.2,5.2
SN2006hx,10.5,0.5,12.6,5.9,42.6,5.6
SN2007S,10.1,0.2,9.2,3.2,58.7,5.4
SN2007af,11.2,0.2,18.7,5.2,104.2,5.8
SN2007as,12.6,0.4,18,2.7,138.3,4.7
SN2007ba,10.8,0.2,49.1,2.8,94.9,3
SN2007bc,10.6,0.3,29.9,1.8,100,2.4
SN2007bd,12.7,0.3,12.3,2,116.4,4.4
