# wavelength flux error
5.402083e+03 2.904541e-15 2.000000e-20
5.406250e+03 2.298361e-15 1.732051e-20
5.410416e+03 2.107174e-15 1.732051e-20
5.414582e+03 2.840236e-15 2.000000e-20
5.418749e+03 2.119162e-15 1.732051e-20
5.422915e+03 2.114261e-15 1.732051e-20
5.427082e+03 2.612949e-15 2.000000e-20
5.431248e+03 1.859131e-15 1.732051e-20
5.435414e+03 1.951988e-15 1.732051e-20
5.439581e+03 2.455698e-15 2.000000e-20
5.443747e+03 1.819933e-15 1.732051e-20
5.447914e+03 1.715176e-15 1.732051e-20
5.452080e+03 2.540382e-15 2.000000e-20
5.456247e+03 1.806544e-15 1.732051e-20
5.460413e+03 2.026368e-15 1.732051e-20
5.464579e+03 2.296714e-15 2.000000e-20
5.468746e+03 1.788265e-15 1.732051e-20
5.472912e+03 1.635733e-15 1.732051e-20
5.477079e+03 2.339038e-15 2.000000e-20
5.481245e+03 1.807435e-15 1.732051e-20
5.485411e+03 1.840357e-15 1.732051e-20
5.489578e+03 2.373147e-15 2.000000e-20
5.493744e+03 1.824266e-15 1.732051e-20
5.497911e+03 1.705025e-15 1.732051e-20
5.502077e+03 2.304405e-15 2.000000e-20
5.506243e+03 1.890343e-15 1.732051e-20
5.510410e+03 1.867733e-15 1.732051e-20
5.514576e+03 2.555803e-15 2.000000e-20
5.518743e+03 1.784678e-15 1.732051e-20
5.522909e+03 1.886850e-15 1.732051e-20
5.527075e+03 2.398251e-15 2.000000e-20
5.531242e+03 1.975852e-15 1.732051e-20
5.535408e+03 1.857029e-15 1.732051e-20
5.539575e+03 2.572778e-15 2.000000e-20
5.543741e+03 1.946813e-15 1.732051e-20
5.547908e+03 1.964503e-15 1.732051e-20
5.552074e+03 2.403140e-15 2.000000e-20
5.556240e+03 2.005806e-15 1.732051e-20
5.560407e+03 1.800099e-15 1.732051e-20
5.564573e+03 2.660911e-15 2.000000e-20
5.568740e+03 1.870539e-15 1.732051e-20
5.572906e+03 1.908719e-15 1.732051e-20
5.577072e+03 2.451972e-15 2.000000e-20
5.581239e+03 1.925281e-15 1.732051e-20
5.585405e+03 1.813050e-15 1.732051e-20
5.589572e+03 2.341629e-15 2.000000e-20
5.593738e+03 1.779679e-15 1.732051e-20
5.597904e+03 1.771775e-15 1.732051e-20
5.602071e+03 2.362108e-15 2.000000e-20
5.606237e+03 1.760386e-15 1.732051e-20
5.610404e+03 1.666640e-15 1.732051e-20
5.614570e+03 2.193089e-15 2.000000e-20
5.618736e+03 1.643626e-15 1.732051e-20
5.622903e+03 1.610963e-15 1.732051e-20
5.627069e+03 1.676694e-15 1.732051e-20
5.631236e+03 2.129715e-15 2.000000e-20
5.635402e+03 1.620197e-15 1.732051e-20
5.639569e+03 1.570331e-15 1.732051e-20
5.643735e+03 2.172966e-15 2.000000e-20
5.647901e+03 1.515493e-15 1.732051e-20
5.652068e+03 1.597653e-15 1.732051e-20
5.656234e+03 1.997363e-15 2.000000e-20
5.660401e+03 1.517519e-15 1.732051e-20
5.664567e+03 1.521010e-15 1.732051e-20
5.668733e+03 2.073146e-15 2.000000e-20
5.672900e+03 1.640573e-15 1.732051e-20
5.677066e+03 1.672629e-15 1.732051e-20
5.681233e+03 2.191142e-15 2.000000e-20
5.685399e+03 1.717256e-15 1.732051e-20
5.689565e+03 1.719416e-15 1.732051e-20
5.693732e+03 2.261443e-15 2.000000e-20
5.697898e+03 1.790225e-15 1.732051e-20
5.702065e+03 1.818656e-15 1.732051e-20
5.706231e+03 2.510073e-15 2.000000e-20
5.710397e+03 1.870541e-15 1.732051e-20
5.714564e+03 1.939308e-15 1.732051e-20
5.718730e+03 2.648568e-15 2.000000e-20
5.722897e+03 1.964861e-15 1.732051e-20
5.727063e+03 1.992584e-15 1.732051e-20
5.731230e+03 2.739600e-15 2.000000e-20
5.735396e+03 2.078691e-15 1.732051e-20
5.739562e+03 2.076587e-15 1.732051e-20
5.743729e+03 2.852775e-15 2.000000e-20
5.747895e+03 2.159931e-15 1.732051e-20
5.752062e+03 2.100973e-15 1.732051e-20
5.756228e+03 2.830227e-15 2.000000e-20
5.760394e+03 2.134374e-15 1.732051e-20
5.764561e+03 2.148331e-15 1.732051e-20
5.768727e+03 2.914918e-15 2.000000e-20
5.772894e+03 2.185217e-15 1.732051e-20
5.777060e+03 2.150372e-15 1.732051e-20
5.781226e+03 2.936723e-15 2.000000e-20
5.785393e+03 2.102807e-15 1.732051e-20
5.789559e+03 2.099675e-15 1.732051e-20
5.793726e+03 2.826047e-15 2.000000e-20
5.797892e+03 2.121724e-15 1.732051e-20
5.802058e+03 2.134061e-15 1.732051e-20
5.806225e+03 2.819523e-15 2.000000e-20
5.810391e+03 2.126756e-15 1.732051e-20
5.814558e+03 2.130003e-15 1.732051e-20
5.818724e+03 2.891416e-15 2.000000e-20
5.822891e+03 2.152148e-15 1.732051e-20
5.827057e+03 2.155305e-15 1.732051e-20
5.831223e+03 2.860909e-15 2.000000e-20
5.835390e+03 2.117558e-15 1.732051e-20
5.839556e+03 2.078174e-15 1.732051e-20
5.843723e+03 2.149178e-15 1.732051e-20
5.847889e+03 2.767429e-15 2.000000e-20
5.852055e+03 2.052553e-15 1.732051e-20
5.856222e+03 2.070170e-15 1.732051e-20
5.860388e+03 2.733530e-15 2.000000e-20
5.864555e+03 2.042202e-15 1.732051e-20
5.868721e+03 2.042113e-15 1.732051e-20
5.872887e+03 2.621402e-15 2.000000e-20
5.877054e+03 1.947982e-15 1.732051e-20
5.881220e+03 1.900684e-15 1.732051e-20
5.885387e+03 2.527389e-15 2.000000e-20
5.889553e+03 1.809431e-15 1.732051e-20
5.893719e+03 1.838944e-15 1.732051e-20
5.897886e+03 2.371504e-15 2.000000e-20
5.902052e+03 1.776897e-15 1.732051e-20
5.906219e+03 1.789032e-15 1.732051e-20
5.910385e+03 2.435136e-15 2.000000e-20
5.914552e+03 1.769680e-15 1.732051e-20
5.918718e+03 1.757877e-15 1.732051e-20
5.922884e+03 2.310032e-15 2.000000e-20
5.927051e+03 1.790437e-15 1.732051e-20
5.931217e+03 1.763629e-15 1.732051e-20
5.935384e+03 2.334796e-15 2.000000e-20
5.939550e+03 1.750468e-15 1.732051e-20
5.943716e+03 1.732367e-15 1.732051e-20
5.947883e+03 2.289069e-15 2.000000e-20
5.952049e+03 1.767783e-15 1.732051e-20
5.956216e+03 1.731511e-15 1.732051e-20
5.960382e+03 2.336691e-15 2.000000e-20
5.964548e+03 2.035276e-15 1.732051e-20
5.968715e+03 1.765683e-15 1.732051e-20
5.972881e+03 2.303415e-15 2.000000e-20
5.977048e+03 1.701093e-15 1.732051e-20
5.981214e+03 1.769224e-15 1.732051e-20
5.985380e+03 2.370629e-15 2.000000e-20
5.989547e+03 1.832670e-15 1.732051e-20
5.993713e+03 1.861325e-15 1.732051e-20
5.997880e+03 2.483424e-15 2.000000e-20
6.002046e+03 1.843382e-15 1.732051e-20
