# wavelength flux error
5.400000e+03 8.296659e-16 1.000000e-20
5.401252e+03 6.984401e-16 1.000000e-20
5.402504e+03 6.880994e-16 1.000000e-20
5.403757e+03 6.883359e-16 1.000000e-20
5.405009e+03 7.576358e-16 1.000000e-20
5.406262e+03 7.523615e-16 1.000000e-20
5.407514e+03 7.883635e-16 1.000000e-20
5.408766e+03 7.345536e-16 1.000000e-20
5.410019e+03 6.789835e-16 1.000000e-20
5.411271e+03 6.936370e-16 1.000000e-20
5.412523e+03 7.165056e-16 1.000000e-20
5.413775e+03 7.255154e-16 1.000000e-20
5.415028e+03 6.832448e-16 1.000000e-20
5.416280e+03 7.149699e-16 1.000000e-20
5.417532e+03 7.411925e-16 1.000000e-20
5.418785e+03 7.062013e-16 1.000000e-20
5.420037e+03 6.717679e-16 1.000000e-20
5.421289e+03 7.077316e-16 1.000000e-20
5.422542e+03 7.138959e-16 1.000000e-20
5.423794e+03 6.926330e-16 1.000000e-20
5.425046e+03 6.490182e-16 1.000000e-20
5.426298e+03 6.619586e-16 1.000000e-20
5.427551e+03 6.424760e-16 1.000000e-20
5.428803e+03 6.594964e-16 1.000000e-20
5.430055e+03 6.249159e-16 1.000000e-20
5.431308e+03 6.464306e-16 1.000000e-20
5.432560e+03 5.877845e-16 1.000000e-20
5.433812e+03 6.703017e-16 1.000000e-20
5.435064e+03 7.432439e-16 1.000000e-20
5.436317e+03 5.384421e-16 1.000000e-20
5.437569e+03 5.731805e-16 1.000000e-20
5.438821e+03 6.244189e-16 1.000000e-20
5.440074e+03 6.362310e-16 1.000000e-20
5.441326e+03 6.218674e-16 1.000000e-20
5.442578e+03 6.615571e-16 1.000000e-20
5.443831e+03 5.723194e-16 1.000000e-20
5.445083e+03 5.860565e-16 1.000000e-20
5.446335e+03 5.723038e-16 1.000000e-20
5.447587e+03 5.248503e-16 1.000000e-20
5.448840e+03 6.180217e-16 1.000000e-20
5.450092e+03 6.372893e-16 1.000000e-20
5.451344e+03 6.379509e-16 1.000000e-20
5.452597e+03 6.165371e-16 1.000000e-20
5.453849e+03 6.486046e-16 1.000000e-20
5.455101e+03 6.567001e-16 1.000000e-20
5.456354e+03 5.630259e-16 1.000000e-20
5.457606e+03 5.868179e-16 1.000000e-20
5.458858e+03 6.462516e-16 1.000000e-20
5.460110e+03 7.023856e-16 1.000000e-20
5.461363e+03 6.777311e-16 1.000000e-20
5.462615e+03 5.909163e-16 1.000000e-20
5.463867e+03 5.363225e-16 1.000000e-20
5.465120e+03 5.440245e-16 1.000000e-20
5.466372e+03 6.254506e-16 1.000000e-20
5.467625e+03 5.817954e-16 1.000000e-20
5.468876e+03 5.760633e-16 1.000000e-20
5.470129e+03 6.304062e-16 1.000000e-20
5.471381e+03 6.018959e-16 1.000000e-20
5.472633e+03 5.206910e-16 1.000000e-20
5.473886e+03 5.131462e-16 1.000000e-20
5.475138e+03 5.257373e-16 1.000000e-20
5.476391e+03 6.140157e-16 1.000000e-20
5.477643e+03 5.829730e-16 1.000000e-20
5.478895e+03 6.163124e-16 1.000000e-20
5.480147e+03 5.757967e-16 1.000000e-20
5.481399e+03 6.084885e-16 1.000000e-20
5.482652e+03 6.231502e-16 1.000000e-20
5.483904e+03 6.505487e-16 1.000000e-20
5.485157e+03 5.823723e-16 1.000000e-20
5.486409e+03 6.074364e-16 1.000000e-20
5.487661e+03 6.121020e-16 1.000000e-20
5.488914e+03 6.132163e-16 1.000000e-20
5.490166e+03 5.675936e-16 1.000000e-20
5.491418e+03 5.802350e-16 1.000000e-20
5.492670e+03 5.901128e-16 1.000000e-20
5.493923e+03 6.180444e-16 1.000000e-20
5.495175e+03 6.161090e-16 1.000000e-20
5.496427e+03 6.128166e-16 1.000000e-20
5.497680e+03 5.811770e-16 1.000000e-20
5.498932e+03 5.110310e-16 1.000000e-20
5.500184e+03 5.367800e-16 1.000000e-20
5.501437e+03 5.806494e-16 1.000000e-20
5.502689e+03 5.925177e-16 1.000000e-20
5.503941e+03 5.944575e-16 1.000000e-20
5.505193e+03 6.229247e-16 1.000000e-20
5.506446e+03 6.641421e-16 1.000000e-20
5.507698e+03 6.032766e-16 1.000000e-20
5.508950e+03 5.936026e-16 1.000000e-20
5.510203e+03 5.975685e-16 1.000000e-20
5.511455e+03 6.765620e-16 1.000000e-20
5.512707e+03 6.284298e-16 1.000000e-20
5.513959e+03 6.181537e-16 1.000000e-20
5.515212e+03 6.544089e-16 1.000000e-20
5.516464e+03 6.548109e-16 1.000000e-20
5.517716e+03 5.685250e-16 1.000000e-20
5.518969e+03 6.115854e-16 1.000000e-20
5.520221e+03 6.045676e-16 1.000000e-20
5.521473e+03 6.259494e-16 1.000000e-20
5.522726e+03 6.579391e-16 1.000000e-20
5.523978e+03 6.029611e-16 1.000000e-20
5.525230e+03 6.090549e-16 1.000000e-20
5.526482e+03 5.694996e-16 1.000000e-20
5.527735e+03 6.112908e-16 1.000000e-20
5.528987e+03 6.084054e-16 1.000000e-20
5.530239e+03 6.429290e-16 1.000000e-20
5.531492e+03 6.567304e-16 1.000000e-20
5.532744e+03 6.761925e-16 1.000000e-20
5.533996e+03 6.230325e-16 1.000000e-20
5.535249e+03 5.916735e-16 1.000000e-20
5.536501e+03 6.423229e-16 1.000000e-20
5.537753e+03 6.306772e-16 1.000000e-20
5.539005e+03 6.410655e-16 1.000000e-20
5.540258e+03 6.587587e-16 1.000000e-20
5.541510e+03 6.422762e-16 1.000000e-20
5.542763e+03 6.337525e-16 1.000000e-20
5.544015e+03 6.567993e-16 1.000000e-20
5.545267e+03 6.562607e-16 1.000000e-20
5.546520e+03 6.630967e-16 1.000000e-20
5.547771e+03 6.457268e-16 1.000000e-20
5.549024e+03 6.556791e-16 1.000000e-20
5.550276e+03 6.082809e-16 1.000000e-20
5.551528e+03 5.843645e-16 1.000000e-20
5.552781e+03 5.742492e-16 1.000000e-20
5.554033e+03 6.362454e-16 1.000000e-20
5.555286e+03 6.398797e-16 1.000000e-20
5.556538e+03 6.856420e-16 1.000000e-20
5.557790e+03 6.802846e-16 1.000000e-20
5.559042e+03 6.472012e-16 1.000000e-20
5.560295e+03 5.643919e-16 1.000000e-20
5.561547e+03 5.885057e-16 1.000000e-20
5.562799e+03 6.485433e-16 1.000000e-20
5.564052e+03 6.425731e-16 1.000000e-20
5.565304e+03 6.810391e-16 1.000000e-20
5.566556e+03 6.887554e-16 1.000000e-20
5.567809e+03 6.840483e-16 1.000000e-20
5.569061e+03 5.819789e-16 1.000000e-20
5.570313e+03 6.045117e-16 1.000000e-20
5.571565e+03 6.243296e-16 1.000000e-20
5.572818e+03 6.369170e-16 1.000000e-20
5.574070e+03 6.474725e-16 1.000000e-20
5.575322e+03 6.021025e-16 1.000000e-20
5.576575e+03 5.730125e-16 1.000000e-20
5.577827e+03 6.740896e-16 1.000000e-20
5.579079e+03 6.027677e-16 1.000000e-20
5.580332e+03 7.012874e-16 1.000000e-20
5.581584e+03 6.200078e-16 1.000000e-20
5.582836e+03 6.039861e-16 1.000000e-20
5.584088e+03 6.209125e-16 1.000000e-20
5.585341e+03 6.055397e-16 1.000000e-20
5.586593e+03 5.865983e-16 1.000000e-20
5.587845e+03 5.790560e-16 1.000000e-20
5.589098e+03 5.627439e-16 1.000000e-20
5.590350e+03 5.829605e-16 1.000000e-20
5.591602e+03 6.168682e-16 1.000000e-20
5.592854e+03 5.686517e-16 1.000000e-20
5.594107e+03 6.005553e-16 1.000000e-20
5.595359e+03 6.104723e-16 1.000000e-20
5.596611e+03 6.048347e-16 1.000000e-20
5.597864e+03 6.064951e-16 1.000000e-20
5.599116e+03 5.604455e-16 1.000000e-20
5.600368e+03 6.056981e-16 1.000000e-20
5.601621e+03 5.935502e-16 1.000000e-20
5.602873e+03 5.674928e-16 1.000000e-20
5.604125e+03 5.953670e-16 1.000000e-20
5.605377e+03 5.807644e-16 1.000000e-20
5.606630e+03 5.896254e-16 1.000000e-20
5.607882e+03 5.899966e-16 1.000000e-20
5.609134e+03 5.537289e-16 1.000000e-20
5.610387e+03 5.687332e-16 1.000000e-20
5.611639e+03 5.441780e-16 1.000000e-20
5.612892e+03 5.582434e-16 1.000000e-20
5.614144e+03 5.637983e-16 1.000000e-20
5.615396e+03 5.404053e-16 1.000000e-20
5.616648e+03 5.306424e-16 1.000000e-20
5.617900e+03 5.203526e-16 1.000000e-20
5.619153e+03 5.681059e-16 1.000000e-20
5.620405e+03 5.551672e-16 1.000000e-20
5.621658e+03 5.233547e-16 1.000000e-20
5.622910e+03 5.487069e-16 1.000000e-20
5.624162e+03 5.389010e-16 1.000000e-20
5.625415e+03 5.721621e-16 1.000000e-20
5.626667e+03 5.520673e-16 1.000000e-20
5.627919e+03 5.524647e-16 1.000000e-20
5.629171e+03 5.470205e-16 1.000000e-20
5.630424e+03 5.313172e-16 1.000000e-20
5.631676e+03 5.213163e-16 1.000000e-20
5.632928e+03 5.300606e-16 1.000000e-20
5.634181e+03 5.385435e-16 1.000000e-20
5.635433e+03 5.331722e-16 1.000000e-20
5.636685e+03 5.484814e-16 1.000000e-20
5.637938e+03 5.110033e-16 1.000000e-20
5.639190e+03 5.048746e-16 1.000000e-20
5.640442e+03 5.544535e-16 1.000000e-20
5.641694e+03 5.657223e-16 1.000000e-20
5.642947e+03 5.363534e-16 1.000000e-20
5.644199e+03 5.379387e-16 1.000000e-20
5.645451e+03 5.329516e-16 1.000000e-20
5.646704e+03 5.032124e-16 1.000000e-20
5.647956e+03 5.301185e-16 1.000000e-20
5.649208e+03 4.821618e-16 1.000000e-20
5.650460e+03 5.111575e-16 1.000000e-20
5.651713e+03 5.397441e-16 1.000000e-20
5.652965e+03 5.467516e-16 1.000000e-20
5.654217e+03 5.088024e-16 1.000000e-20
5.655470e+03 4.914487e-16 1.000000e-20
5.656722e+03 4.926053e-16 1.000000e-20
5.657974e+03 5.045069e-16 1.000000e-20
5.659227e+03 5.171488e-16 1.000000e-20
5.660479e+03 5.098014e-16 1.000000e-20
5.661731e+03 4.905691e-16 1.000000e-20
5.662983e+03 5.080906e-16 1.000000e-20
5.664236e+03 5.041074e-16 1.000000e-20
5.665488e+03 5.088121e-16 1.000000e-20
5.666740e+03 5.191335e-16 1.000000e-20
5.667993e+03 5.085951e-16 1.000000e-20
5.669245e+03 5.201385e-16 1.000000e-20
5.670497e+03 5.252793e-16 1.000000e-20
5.671750e+03 5.362670e-16 1.000000e-20
5.673002e+03 5.381826e-16 1.000000e-20
5.674254e+03 5.661237e-16 1.000000e-20
5.675506e+03 5.867630e-16 1.000000e-20
5.676759e+03 5.425762e-16 1.000000e-20
5.678011e+03 5.432899e-16 1.000000e-20
5.679263e+03 5.538063e-16 1.000000e-20
5.680516e+03 5.585356e-16 1.000000e-20
5.681768e+03 5.431210e-16 1.000000e-20
5.683021e+03 5.356793e-16 1.000000e-20
5.684272e+03 5.617573e-16 1.000000e-20
5.685525e+03 5.803270e-16 1.000000e-20
5.686777e+03 5.751715e-16 1.000000e-20
5.688029e+03 5.742311e-16 1.000000e-20
5.689282e+03 5.609651e-16 1.000000e-20
5.690534e+03 5.842195e-16 1.000000e-20
5.691787e+03 5.386415e-16 1.000000e-20
5.693039e+03 5.611474e-16 1.000000e-20
5.694291e+03 5.772883e-16 1.000000e-20
5.695543e+03 5.843661e-16 1.000000e-20
5.696795e+03 5.981772e-16 1.000000e-20
5.698048e+03 5.891853e-16 1.000000e-20
5.699300e+03 6.028627e-16 1.000000e-20
5.700553e+03 5.957173e-16 1.000000e-20
5.701805e+03 5.973822e-16 1.000000e-20
5.703057e+03 6.255561e-16 1.000000e-20
5.704310e+03 6.168017e-16 1.000000e-20
5.705562e+03 6.278324e-16 1.000000e-20
5.706814e+03 6.510464e-16 1.000000e-20
5.708066e+03 6.143923e-16 1.000000e-20
5.709319e+03 6.280749e-16 1.000000e-20
5.710571e+03 6.244354e-16 1.000000e-20
5.711823e+03 6.180304e-16 1.000000e-20
5.713076e+03 6.326167e-16 1.000000e-20
5.714328e+03 6.464688e-16 1.000000e-20
5.715580e+03 6.602221e-16 1.000000e-20
5.716833e+03 6.721066e-16 1.000000e-20
5.718085e+03 6.594886e-16 1.000000e-20
5.719337e+03 6.436996e-16 1.000000e-20
5.720589e+03 6.732732e-16 1.000000e-20
5.721842e+03 6.667768e-16 1.000000e-20
5.723094e+03 6.508168e-16 1.000000e-20
5.724346e+03 6.472673e-16 1.000000e-20
5.725599e+03 6.582336e-16 1.000000e-20
5.726851e+03 6.694229e-16 1.000000e-20
5.728103e+03 6.649271e-16 1.000000e-20
5.729355e+03 6.951431e-16 1.000000e-20
5.730608e+03 6.696480e-16 1.000000e-20
5.731860e+03 6.996445e-16 1.000000e-20
5.733112e+03 6.751644e-16 1.000000e-20
5.734365e+03 6.502159e-16 1.000000e-20
5.735617e+03 7.117320e-16 1.000000e-20
5.736869e+03 7.167433e-16 1.000000e-20
5.738122e+03 6.931822e-16 1.000000e-20
5.739374e+03 6.974774e-16 1.000000e-20
5.740626e+03 6.859273e-16 1.000000e-20
5.741878e+03 7.104071e-16 1.000000e-20
5.743131e+03 7.337121e-16 1.000000e-20
5.744383e+03 7.089249e-16 1.000000e-20
5.745635e+03 6.997312e-16 1.000000e-20
5.746888e+03 7.283922e-16 1.000000e-20
5.748140e+03 7.144678e-16 1.000000e-20
5.749392e+03 7.170705e-16 1.000000e-20
5.750645e+03 6.976909e-16 1.000000e-20
5.751897e+03 6.929586e-16 1.000000e-20
5.753149e+03 7.103237e-16 1.000000e-20
5.754401e+03 7.134637e-16 1.000000e-20
5.755654e+03 7.170825e-16 1.000000e-20
5.756906e+03 6.910849e-16 1.000000e-20
5.758158e+03 7.085957e-16 1.000000e-20
5.759411e+03 7.045861e-16 1.000000e-20
5.760663e+03 7.172473e-16 1.000000e-20
5.761916e+03 7.125402e-16 1.000000e-20
5.763167e+03 7.131102e-16 1.000000e-20
5.764420e+03 7.063353e-16 1.000000e-20
5.765672e+03 7.288858e-16 1.000000e-20
5.766924e+03 7.497115e-16 1.000000e-20
5.768177e+03 7.340684e-16 1.000000e-20
5.769429e+03 7.174760e-16 1.000000e-20
5.770682e+03 7.136622e-16 1.000000e-20
5.771934e+03 7.251335e-16 1.000000e-20
5.773186e+03 7.320537e-16 1.000000e-20
5.774438e+03 7.280293e-16 1.000000e-20
5.775690e+03 7.205742e-16 1.000000e-20
5.776943e+03 7.204586e-16 1.000000e-20
5.778195e+03 7.093396e-16 1.000000e-20
5.779448e+03 7.211112e-16 1.000000e-20
5.780700e+03 7.439318e-16 1.000000e-20
5.781952e+03 7.222530e-16 1.000000e-20
5.783205e+03 7.494272e-16 1.000000e-20
5.784457e+03 7.254880e-16 1.000000e-20
5.785709e+03 6.946168e-16 1.000000e-20
5.786961e+03 6.827024e-16 1.000000e-20
5.788214e+03 6.906188e-16 1.000000e-20
5.789466e+03 7.074213e-16 1.000000e-20
5.790718e+03 7.016351e-16 1.000000e-20
5.791971e+03 6.933527e-16 1.000000e-20
5.793223e+03 7.242214e-16 1.000000e-20
5.794475e+03 7.121065e-16 1.000000e-20
5.795728e+03 6.963666e-16 1.000000e-20
5.796980e+03 7.169036e-16 1.000000e-20
5.798232e+03 7.022358e-16 1.000000e-20
5.799484e+03 7.025850e-16 1.000000e-20
5.800737e+03 7.132920e-16 1.000000e-20
5.801989e+03 7.067947e-16 1.000000e-20
5.803241e+03 7.139741e-16 1.000000e-20
5.804494e+03 6.865448e-16 1.000000e-20
5.805746e+03 7.060096e-16 1.000000e-20
5.806998e+03 7.292984e-16 1.000000e-20
5.808250e+03 6.976697e-16 1.000000e-20
5.809503e+03 6.958754e-16 1.000000e-20
5.810755e+03 7.113308e-16 1.000000e-20
5.812007e+03 7.195501e-16 1.000000e-20
5.813260e+03 7.081100e-16 1.000000e-20
5.814512e+03 7.103256e-16 1.000000e-20
5.815764e+03 7.115671e-16 1.000000e-20
5.817017e+03 7.202610e-16 1.000000e-20
5.818269e+03 7.220219e-16 1.000000e-20
5.819521e+03 7.372892e-16 1.000000e-20
5.820773e+03 7.118443e-16 1.000000e-20
5.822026e+03 7.221656e-16 1.000000e-20
5.823278e+03 7.121023e-16 1.000000e-20
5.824530e+03 7.178800e-16 1.000000e-20
5.825783e+03 7.230233e-16 1.000000e-20
5.827035e+03 7.073009e-16 1.000000e-20
5.828287e+03 7.249804e-16 1.000000e-20
5.829540e+03 7.096501e-16 1.000000e-20
5.830792e+03 7.187891e-16 1.000000e-20
5.832044e+03 7.259890e-16 1.000000e-20
5.833296e+03 7.064811e-16 1.000000e-20
