supernova_name,spextractor_pEW,paper_pEW,spextractor_vel,paper_vel
SN2000dn,103.26638465248898,102.4,11.21197891960819,9.7
SN2008fr,93.81525488512501,93.3,10.48109095078352,10.1
SN2007ux,72.96418319385533,124.1,10.499314547269043,11.1
SN1999cp,112.02813802940408,,14.485813999030043,
PS1-14ra,125.72755196924567,124.0,12.3282104635675,11.2
SN2005el,90.12940909495147,93.9,15.980582725960309,10.9
SN2008fp,,73.9,,11.0
SN2009le,,79.2,,12.5
SN2007af,,104.2,,11.2
SN2007on,112.08160155598317,117.4,13.805391386968791,11.2
SN2009ds,,71.8,,12.6
SN2012gm,96.33488689624303,101.5,11.870957320649755,10.4
SN2000dr,134.29039245952072,131.4,10.194567290733248,10.3
SN2006hx,2.02397419376816,42.6,7.1262708763161,10.5
SN2009ad,,67.4,,10.2
ASASSN-14hr,104.15260755835253,103.1,11.903058908279105,13.6
SN2002er,90.18843244012938,115.2,13.892460478036122,12.0
SN2014I,,98.7,,11.3
SN2007le,148.22919711513387,113.9,15.631206766212344,11.9
SN2008gl,-1.642095954749569,115.0,7.564759463780476,11.9
SN2012hr,133.6565327930679,134.7,12.950485710980928,12.6
SN2007ol,,77.2,,11.1
LSQ12gdj,15.2467329010039,36.0,8.000803975076451,10.7
ASASSN-15fr,103.6916774143624,107.4,11.170044597336002,11.7
SN2009ab,75.88644392946973,105.2,14.74889404476687,10.7
SN2008C,82.63483434631412,65.1,11.042128909365928,10.6
SN2003Y,94.79418974687556,104.1,11.01531540003215,11.3
SN2003gt,73.24270734461679,76.8,11.286861461108538,11.3
SN2007bd,102.20543369784504,116.4,15.405232211849023,12.7
SN2001ep,104.70875409366401,111.7,11.881917650281421,10.7
SN2009ag,104.58205856850569,107.8,13.161562870604728,10.3
SN2007ca,63.317684174566566,89.9,12.265740155018499,11.0
SN2006lf,97.21179306592371,100.4,11.948241025701444,11.7
SN2011jh,96.91685799413624,126.1,14.831367825353762,12.8
SN2002ha,101.64453861519443,111.3,11.24539912312105,11.3
SN2008bq,-3.347338055852997,92.0,7.406364557047698,10.6
SN2008hj,98.90958048603297,103.3,12.707129377211507,13.0
SN2003gn,139.669758745021,96.1,13.327318624033817,11.1
SN2008hu,115.96901748577163,127.0,12.855666288931975,12.4
SN2006cp,155.8836043789587,159.0,16.541799240973813,14.9
SN2005M,41.578071517775186,47.5,8.687998885054771,9.2
SN2003cg,96.69667757976788,146.8,12.949733104835389,13.2
SN2002cr,120.64493938173895,104.6,12.218332973650748,10.1
ASASSN-15hf,78.09701398633568,83.6,11.983640061974972,11.1
SN2001en,136.1205188193733,135.0,12.870523701366773,12.6
SN2002eb,64.664193569545,65.0,10.369482504495858,10.1
SN2006D,,100.4,,11.2
SN2012ht,102.29370842998257,115.2,13.338413296281136,10.9
ASASSN-14kq,,82.5,,10.5
SN2005bg,141.89174227225453,105.5,17.45749629130999,10.6
SN2001V,40.42414385181975,57.0,13.49189591896045,11.4
SN2012hl,116.7741044130117,142.0,13.307892974308904,12.9
SN2002dj,153.79999458411157,151.0,17.181990251105727,14.0
SN2013E,62.19797113811152,65.2,11.7614071531931,12.6
SN2009D,58.28338916865442,77.5,17.830297456468866,9.7
SN2002bo,127.24200739203434,150.4,17.184123459958133,13.4
SN2007as,127.28995621042176,138.3,18.97919178624455,12.6
LSQ15aja,42.568908662177435,78.1,9.263001049388016,10.2
SN2006le,99.7156388963838,93.3,19.395448009398116,11.4
PS1-14xw,78.04136580096214,77.8,13.084551284594648,11.7
SN2005de,104.30487427040572,102.9,12.258609709901393,10.7
SN2006br,,111.8,,13.9
SN1999gp,47.67768079832421,104.6,11.44845616266416,10.6
SN2005eq,34.93829991959709,77.3,9.59033824683737,9.8
SN2009aa,78.53162881089179,63.2,19.043502073206767,10.9
SN2008cf,34.32608988582069,55.6,9.509280526758843,10.2
SN2008ec,110.8039562633029,119.3,11.096291777714454,10.8
SN2012fr,,70.5,,12.1
SN2007bc,99.5271783244382,100.0,10.459032347189119,10.6
SN2004dt,,167.0,,16.0
SN2012ij,115.46058507803102,121.5,10.102984988196829,10.8
SN2008gp,,43.7,,11.0
SN2004at,78.90016510580324,92.6,12.11224265616449,10.7
SN2000fa,108.06194871495104,83.4,15.352199997061112,11.9
SN2013gy,102.03357837544628,114.1,14.287847200678003,10.2
SN2006hb,116.452736422524,,15.217480027857288,
SN2008bf,1.6361804824478698,79.0,9.622688403779744,11.3
SN2011iv,94.52438126399123,88.6,10.312499636988646,10.9
SN2005cf,129.0296604231983,89.7,16.81907344765245,10.3
SN2008hv,,96.7,,10.8
SN2008ia,,105.9,,11.4
SN1998dh,110.16109639345203,124.6,13.601477111933239,12.4
ASASSN-15al,77.606602845605,81.7,10.601923181874131,11.7
SN2008bc,,105.0,,11.7
SN2013fy,69.38651652397712,93.4,13.093982708857997,10.8
LSQ12fxd,71.8534936577777,,12.55507139714697,
SN2007S,,58.7,,10.1
SN2007bm,111.16477046620906,101.8,12.740661579913146,10.6
SN2006ex,98.36121070358188,,13.003501311919047,
SN2005hc,0.07140784009994411,101.5,7.419437632476318,10.3
SN2008R,126.07444329067945,126.7,10.63752173653323,10.7
SN2003W,,108.2,,15.2
SN2009cz,66.18525038707661,75.6,9.724767205247824,10.1
SN2007ci,122.74661242736421,126.4,12.667246766866883,12.3
SN2006gr,58.8868421129864,65.0,19.695249141487032,11.3
ASASSN-14hu,,86.7,,12.5
SN2002fk,65.47411754415094,80.7,9.99391490934163,9.8
SN2012aq,101.35606460016024,105.5,10.829960853310206,11.2
SN2009Y,,155.6,,14.4
SN1998dm,75.28442758083928,73.2,11.491445079873726,11.0
